Subject,Block,Trial,Direction,Velocity,Blink,BlinkDuration,ResponseError
222,2,23,1,180,1,15,-17.477
222,2,24,-1,180,0,0,-1.142
222,2,25,-1,180,0,0,-3.7394
222,2,26,-1,180,0,0,10.919
222,2,27,-1,240,0,0,2.8556
222,2,28,-1,180,0,0,1.8768
222,2,29,1,240,0,0,-2.7174
222,2,30,-1,180,0,0,-0.066173
222,2,31,-1,180,1,15,1.8257
222,2,32,-1,240,0,0,-0.74154
222,2,33,-1,180,0,0,4.2698
222,2,34,1,180,1,15,0.64973
222,2,35,1,240,0,0,6.8953
222,2,36,1,240,0,0,4.4937
222,2,37,1,180,0,0,-4.3669
222,2,38,1,180,0,0,1.2591
222,2,39,-1,240,1,15,-5.4624
222,2,40,-1,180,0,0,0.4053
222,2,41,1,180,0,0,0.34556
222,2,42,-1,240,0,0,-7.1768
222,2,43,-1,240,0,0,3.6532
222,2,44,1,180,1,98,-23.534
222,2,45,1,180,0,0,2.671
222,2,46,-1,240,0,0,6.5551
222,2,47,-1,180,0,0,-2.7543
222,2,48,-1,240,0,0,-3.0904
222,2,49,-1,180,0,0,0.52295
222,2,50,-1,240,0,0,5.836
222,2,51,1,180,0,0,-14.306
222,2,52,1,180,0,0,2.2238
222,2,53,1,240,0,0,-17.207
222,2,54,1,240,0,0,3.0212
222,2,55,1,240,1,68,-26.712
222,2,56,1,240,0,0,-5.1704
222,2,57,1,180,0,0,-5.9441
222,2,58,1,240,0,0,-2.1196
222,2,59,1,240,0,0,6.3008
222,2,60,-1,240,0,0,6.866
222,2,61,1,240,0,0,7.3204
222,2,62,1,180,0,0,-4.9124
222,2,63,-1,240,0,0,-7.9074
222,2,64,-1,180,1,15,-7.8884
222,2,65,-1,180,0,0,-0.77954
222,2,66,1,240,0,0,-23.259
222,2,67,1,180,0,0,6.0588
222,2,68,-1,240,0,0,-5.1495
222,2,69,-1,180,0,0,4.9814
222,2,70,-1,240,0,0,9.0366
222,2,71,1,240,0,0,-8.9909
222,2,72,1,240,0,0,-5.3155
222,2,73,-1,180,0,0,-9.0741
222,2,74,1,180,0,0,7.7311
222,2,75,1,240,0,0,-4.5383
222,2,76,-1,180,0,0,-7.4112
222,2,77,-1,180,0,0,2.717
222,2,78,1,180,0,0,-6.0962
222,2,79,1,240,0,0,-1.6563
222,2,80,1,180,0,0,-4.7908
222,3,1,1,180,0,0,6.2787
222,3,2,-1,240,1,0,53.44
222,3,3,-1,180,1,0,-4.5841
222,3,4,1,240,1,460,11.008
222,3,5,1,180,1,0,4.2315
222,3,6,1,180,1,0,-4.9577
222,3,7,-1,240,1,0,14.886
222,3,8,-1,180,1,491,-7.7148
222,3,9,1,240,1,399,17.436
222,3,10,-1,180,1,413,44.623
222,3,11,-1,240,1,415,35.332
222,3,12,1,180,1,462,8.3512
222,3,13,1,240,1,290,-2.3816
222,3,14,1,180,1,325,5.1441
222,3,15,1,240,1,278,-11.794
222,3,16,-1,240,1,421,-4.7097
222,3,17,-1,180,1,487,36.673
222,3,18,-1,180,1,380,33.765
222,3,19,1,180,1,458,-2.8573
222,3,20,-1,180,1,456,2.4374
222,3,21,-1,240,1,498,24.667
222,3,22,-1,240,1,335,-2.0669
222,3,23,-1,240,1,0,20.019
222,3,24,1,240,1,350,2.315
222,3,25,-1,240,1,251,11.632
222,3,26,1,180,1,244,-3.6759
222,3,27,1,240,1,0,16.888
222,3,28,-1,240,1,224,2.6346
222,3,29,1,180,1,15,-0.75777
222,3,30,-1,240,1,491,8.2742
222,3,31,-1,180,1,0,4.3661
222,3,32,1,180,1,0,-5.2047
222,3,33,-1,180,1,383,-15.113
222,3,34,-1,180,1,393,-13.497
222,3,35,1,180,1,0,6.7639
222,3,36,1,180,1,429,-7.3926
222,3,37,1,180,1,0,2.0327
222,3,38,1,240,1,433,3.8828
222,3,39,1,240,1,404,2.9503
222,3,40,-1,240,1,470,9.2902
222,3,41,-1,180,1,420,3.8275
222,3,42,1,180,1,412,-5.7719
222,3,43,-1,180,1,478,9.5012
222,3,44,-1,180,1,23,-9.8742
222,3,45,1,180,1,446,10.256
222,3,46,1,180,1,377,-3.2445
222,3,47,1,240,1,358,3.2682
222,3,48,1,240,1,365,-7.6371
222,3,49,-1,180,1,23,32.189
222,3,50,-1,180,1,348,15.32
222,3,51,-1,240,1,507,18.753
222,3,52,-1,180,1,381,-4.4611
222,3,53,-1,240,1,293,4.1795
222,3,54,-1,240,1,422,-11.753
222,3,55,1,180,1,15,10.698
222,3,56,-1,180,1,120,-1.6278
222,3,57,1,180,1,17,-9.5872
222,3,58,1,240,1,271,-6.4532
222,3,59,1,240,1,356,2.6977
222,3,60,-1,180,1,340,-7.6533
222,3,61,1,240,1,446,5.6446
222,3,62,1,240,1,400,-7.5609
222,3,63,-1,240,1,359,-2.8856
222,3,64,1,240,1,383,6.1062
222,3,65,1,180,1,281,6.2565
222,3,66,-1,240,1,291,25.997
222,3,67,-1,240,1,0,-29.496
222,3,68,1,180,1,291,26.254
222,3,69,-1,180,1,352,-33.232
222,3,70,-1,240,1,0,-3.474
222,3,71,-1,180,1,20,4.8408
222,3,72,-1,240,1,0,2.3649
222,3,73,1,240,1,390,14.53
222,3,74,1,240,1,475,8.5962
222,3,75,1,240,1,491,-4.8527
222,3,76,-1,180,1,0,5.2931
222,3,77,-1,240,1,453,-5.329
222,3,78,1,240,1,15,-3.1738
222,3,79,1,180,1,330,-12.738
222,3,80,1,240,1,15,0.70514
222,4,1,-1,180,0,0,-18.105
222,4,2,1,240,0,0,7.0084
222,4,3,-1,180,0,0,-4.3544
222,4,4,-1,180,0,0,5.4295
222,4,5,-1,240,0,0,18.268
222,4,6,1,240,0,0,8.8881
222,4,7,-1,240,0,0,-5.1159
222,4,8,1,240,0,0,-10.055
222,4,9,-1,240,0,0,8.8505
222,4,10,1,180,0,0,-2.6595
